,Name,Rating,Reviews
0,Vodafone Idea,4.2,14.2k
1,BYJU'S,3.1,15.2k
2,Kotak Mahindra Bank,3.8,14.2k
3,Deloitte,3.9,14.3k
4,Reliance Industries,4.1,13.5k
5,iEnergizer,4.7,15.7k
6,Bharti Airtel,4.1,11.9k
7,Tata Motors,4.2,10.2k
8,WNS,3.5,9.6k
9,Flipkart,4.0,9.4k
10,IndusInd Bank,3.7,9.1k
11,Ernst & Young,3.6,9.1k
12,AU Small Finance Bank,4.4,8.8k
13,Mahindra & Mahindra,4.2,8.5k
14,Infosys BPM,3.8,8.3k
15,DXC Technology,3.8,8.3k
16,IDFC FIRST Bank,4.0,8.5k
17,Conneqt Business Solutions,3.7,7.9k
18,LTIMindtree,3.6,8.2k
19,HDFC Life,4.1,7.7k
